simulation,generation,rho,delta,sigma/pext,alpha
1,36,0.3504,0.25,0,0,0.4444444444444444
1,37,0.3424,0.25,0,0,0.4444444444444444
1,38,0.3432,0.25,0,0,0.4444444444444444
1,39,0.3376,0.25,0,0,0.4444444444444444
1,40,0.3552,0.25,0,0,0.4444444444444444
1,41,0.354,0.25,0,0,0.4444444444444444
1,42,0.3524,0.25,0,0,0.4444444444444444
1,43,0.3612,0.25,0,0,0.4444444444444444
1,44,0.3512,0.25,0,0,0.4444444444444444
1,45,0.368,0.25,0,0,0.4444444444444444
1,46,0.3668,0.25,0,0,0.4444444444444444
1,47,0.38,0.25,0,0,0.4444444444444444
1,48,0.3748,0.25,0,0,0.4444444444444444
1,49,0.3676,0.25,0,0,0.4444444444444444
1,50,0.3764,0.25,0,0,0.4444444444444444
1,51,0.3736,0.25,0,0,0.4444444444444444
1,52,0.3712,0.25,0,0,0.4444444444444444
1,53,0.3532,0.25,0,0,0.4444444444444444
1,54,0.3572,0.25,0,0,0.4444444444444444
1,55,0.3656,0.25,0,0,0.4444444444444444
1,56,0.3664,0.25,0,0,0.4444444444444444
1,57,0.368,0.25,0,0,0.4444444444444444
1,58,0.3632,0.25,0,0,0.4444444444444444
1,59,0.3568,0.25,0,0,0.4444444444444444
1,60,0.3644,0.25,0,0,0.4444444444444444
1,61,0.36,0.25,0,0,0.4444444444444444
1,62,0.3572,0.25,0,0,0.4444444444444444
1,63,0.3416,0.25,0,0,0.4444444444444444
1,64,0.3428,0.25,0,0,0.4444444444444444
1,65,0.358,0.25,0,0,0.4444444444444444
1,66,0.3544,0.25,0,0,0.4444444444444444
1,67,0.3584,0.25,0,0,0.4444444444444444
1,68,0.3532,0.25,0,0,0.4444444444444444
1,69,0.3508,0.25,0,0,0.4444444444444444
1,70,0.3688,0.25,0,0,0.4444444444444444
1,71,0.3756,0.25,0,0,0.4444444444444444
1,72,0.3712,0.25,0,0,0.4444444444444444
1,73,0.3696,0.25,0,0,0.4444444444444444
1,74,0.3764,0.25,0,0,0.4444444444444444
1,75,0.3732,0.25,0,0,0.4444444444444444
1,76,0.378,0.25,0,0,0.4444444444444444
1,77,0.3672,0.25,0,0,0.4444444444444444
1,78,0.3676,0.25,0,0,0.4444444444444444
1,79,0.3628,0.25,0,0,0.4444444444444444
1,80,0.3536,0.25,0,0,0.4444444444444444
1,81,0.3504,0.25,0,0,0.4444444444444444
1,82,0.352,0.25,0,0,0.4444444444444444
1,83,0.3572,0.25,0,0,0.4444444444444444
1,84,0.3572,0.25,0,0,0.4444444444444444
1,85,0.3524,0.25,0,0,0.4444444444444444
1,86,0.3384,0.25,0,0,0.4444444444444444
1,87,0.3484,0.25,0,0,0.4444444444444444
1,88,0.3584,0.25,0,0,0.4444444444444444
1,89,0.3616,0.25,0,0,0.4444444444444444
1,90,0.3664,0.25,0,0,0.4444444444444444
1,91,0.3524,0.25,0,0,0.4444444444444444
1,92,0.3452,0.25,0,0,0.4444444444444444
1,93,0.3352,0.25,0,0,0.4444444444444444
1,94,0.3468,0.25,0,0,0.4444444444444444
1,95,0.3516,0.25,0,0,0.4444444444444444
1,96,0.3308,0.25,0,0,0.4444444444444444
1,97,0.3416,0.25,0,0,0.4444444444444444
1,98,0.3472,0.25,0,0,0.4444444444444444
1,99,0.3472,0.25,0,0,0.4444444444444444
1,100,0.3608,0.25,0,0,0.4444444444444444
1,0,1,0.25,0,0,0.5555555555555556
1,1,0.7144,0.25,0,0,0.5555555555555556
1,2,0.5952,0.25,0,0,0.5555555555555556
1,3,0.5276,0.25,0,0,0.5555555555555556
1,4,0.4928,0.25,0,0,0.5555555555555556
1,5,0.4672,0.25,0,0,0.5555555555555556
1,6,0.4276,0.25,0,0,0.5555555555555556
1,7,0.4212,0.25,0,0,0.5555555555555556
1,8,0.396,0.25,0,0,0.5555555555555556
1,9,0.3896,0.25,0,0,0.5555555555555556
1,10,0.3816,0.25,0,0,0.5555555555555556
1,11,0.3752,0.25,0,0,0.5555555555555556
1,12,0.3632,0.25,0,0,0.5555555555555556
1,13,0.3688,0.25,0,0,0.5555555555555556
1,14,0.364,0.25,0,0,0.5555555555555556
1,15,0.3584,0.25,0,0,0.5555555555555556
1,16,0.35,0.25,0,0,0.5555555555555556
1,17,0.3432,0.25,0,0,0.5555555555555556
1,18,0.342,0.25,0,0,0.5555555555555556
1,19,0.3332,0.25,0,0,0.5555555555555556
1,20,0.3412,0.25,0,0,0.5555555555555556
1,21,0.3492,0.25,0,0,0.5555555555555556
1,22,0.34,0.25,0,0,0.5555555555555556
1,23,0.3288,0.25,0,0,0.5555555555555556
1,24,0.3236,0.25,0,0,0.5555555555555556
1,25,0.3308,0.25,0,0,0.5555555555555556
1,26,0.33,0.25,0,0,0.5555555555555556
1,27,0.3268,0.25,0,0,0.5555555555555556
1,28,0.3244,0.25,0,0,0.5555555555555556
1,29,0.3376,0.25,0,0,0.5555555555555556
1,30,0.348,0.25,0,0,0.5555555555555556
1,31,0.3636,0.25,0,0,0.5555555555555556
1,32,0.3564,0.25,0,0,0.5555555555555556
1,33,0.3544,0.25,0,0,0.5555555555555556
1,34,0.3372,0.25,0,0,0.5555555555555556
1,35,0.3536,0.25,0,0,0.5555555555555556
1,36,0.3372,0.25,0,0,0.5555555555555556
1,37,0.3384,0.25,0,0,0.5555555555555556
1,38,0.3436,0.25,0,0,0.5555555555555556
1,39,0.372,0.25,0,0,0.5555555555555556
1,40,0.3548,0.25,0,0,0.5555555555555556
1,41,0.352,0.25,0,0,0.5555555555555556
1,42,0.3372,0.25,0,0,0.5555555555555556
1,43,0.3384,0.25,0,0,0.5555555555555556
1,44,0.3372,0.25,0,0,0.5555555555555556
1,45,0.334,0.25,0,0,0.5555555555555556
1,46,0.3276,0.25,0,0,0.5555555555555556
1,47,0.3204,0.25,0,0,0.5555555555555556
1,48,0.3332,0.25,0,0,0.5555555555555556
1,49,0.3288,0.25,0,0,0.5555555555555556
1,50,0.3344,0.25,0,0,0.5555555555555556
1,51,0.3396,0.25,0,0,0.5555555555555556
1,52,0.3488,0.25,0,0,0.5555555555555556
1,53,0.3516,0.25,0,0,0.5555555555555556
1,54,0.358,0.25,0,0,0.5555555555555556
1,55,0.3736,0.25,0,0,0.5555555555555556
1,56,0.3732,0.25,0,0,0.5555555555555556
1,57,0.3808,0.25,0,0,0.5555555555555556
1,58,0.382,0.25,0,0,0.5555555555555556
1,59,0.406,0.25,0,0,0.5555555555555556
1,60,0.3956,0.25,0,0,0.5555555555555556
1,61,0.4052,0.25,0,0,0.5555555555555556
1,62,0.3784,0.25,0,0,0.5555555555555556
1,63,0.3692,0.25,0,0,0.5555555555555556
1,64,0.3716,0.25,0,0,0.5555555555555556
1,65,0.366,0.25,0,0,0.5555555555555556
1,66,0.37,0.25,0,0,0.5555555555555556
1,67,0.3668,0.25,0,0,0.5555555555555556
1,68,0.3712,0.25,0,0,0.5555555555555556
1,69,0.36,0.25,0,0,0.5555555555555556
1,70,0.3496,0.25,0,0,0.5555555555555556
1,71,0.3564,0.25,0,0,0.5555555555555556
1,72,0.3684,0.25,0,0,0.5555555555555556
1,73,0.3524,0.25,0,0,0.5555555555555556
1,74,0.35,0.25,0,0,0.5555555555555556
1,75,0.36,0.25,0,0,0.5555555555555556
1,76,0.3564,0.25,0,0,0.5555555555555556
1,77,0.3588,0.25,0,0,0.5555555555555556
1,78,0.3632,0.25,0,0,0.5555555555555556
1,79,0.3568,0.25,0,0,0.5555555555555556
1,80,0.3496,0.25,0,0,0.5555555555555556
1,81,0.3508,0.25,0,0,0.5555555555555556
1,82,0.3484,0.25,0,0,0.5555555555555556
1,83,0.3476,0.25,0,0,0.5555555555555556
1,84,0.354,0.25,0,0,0.5555555555555556
1,85,0.3516,0.25,0,0,0.5555555555555556
1,86,0.3612,0.25,0,0,0.5555555555555556
1,87,0.3636,0.25,0,0,0.5555555555555556
1,88,0.3668,0.25,0,0,0.5555555555555556
1,89,0.3504,0.25,0,0,0.5555555555555556
1,90,0.3604,0.25,0,0,0.5555555555555556
1,91,0.344,0.25,0,0,0.5555555555555556
1,92,0.3496,0.25,0,0,0.5555555555555556
1,93,0.3432,0.25,0,0,0.5555555555555556
1,94,0.3344,0.25,0,0,0.5555555555555556
1,95,0.3452,0.25,0,0,0.5555555555555556
1,96,0.3568,0.25,0,0,0.5555555555555556
1,97,0.3648,0.25,0,0,0.5555555555555556
1,98,0.3608,0.25,0,0,0.5555555555555556
1,99,0.3528,0.25,0,0,0.5555555555555556
1,100,0.354,0.25,0,0,0.5555555555555556
1,0,1,0.25,0,0,0.6666666666666666
1,1,0.7052,0.25,0,0,0.6666666666666666
1,2,0.5848,0.25,0,0,0.6666666666666666
1,3,0.5136,0.25,0,0,0.6666666666666666
1,4,0.4648,0.25,0,0,0.6666666666666666
1,5,0.432,0.25,0,0,0.6666666666666666
1,6,0.4336,0.25,0,0,0.6666666666666666
1,7,0.4276,0.25,0,0,0.6666666666666666
1,8,0.4152,0.25,0,0,0.6666666666666666
1,9,0.4084,0.25,0,0,0.6666666666666666
1,10,0.416,0.25,0,0,0.6666666666666666
1,11,0.3832,0.25,0,0,0.6666666666666666
1,12,0.3632,0.25,0,0,0.6666666666666666
1,13,0.3656,0.25,0,0,0.6666666666666666
1,14,0.3724,0.25,0,0,0.6666666666666666
1,15,0.3852,0.25,0,0,0.6666666666666666
1,16,0.3744,0.25,0,0,0.6666666666666666
1,17,0.3724,0.25,0,0,0.6666666666666666
1,18,0.3812,0.25,0,0,0.6666666666666666
1,19,0.3896,0.25,0,0,0.6666666666666666
1,20,0.3768,0.25,0,0,0.6666666666666666
1,21,0.3732,0.25,0,0,0.6666666666666666
1,22,0.3688,0.25,0,0,0.6666666666666666
1,23,0.3796,0.25,0,0,0.6666666666666666
1,24,0.3852,0.25,0,0,0.6666666666666666
1,25,0.3712,0.25,0,0,0.6666666666666666
1,26,0.3764,0.25,0,0,0.6666666666666666
1,27,0.3804,0.25,0,0,0.6666666666666666
1,28,0.3816,0.25,0,0,0.6666666666666666
1,29,0.3856,0.25,0,0,0.6666666666666666
1,30,0.382,0.25,0,0,0.6666666666666666
1,31,0.3852,0.25,0,0,0.6666666666666666
1,32,0.3816,0.25,0,0,0.6666666666666666
1,33,0.3768,0.25,0,0,0.6666666666666666
1,34,0.3732,0.25,0,0,0.6666666666666666
1,35,0.3728,0.25,0,0,0.6666666666666666
1,36,0.362,0.25,0,0,0.6666666666666666
1,37,0.366,0.25,0,0,0.6666666666666666
1,38,0.3736,0.25,0,0,0.6666666666666666
1,39,0.3628,0.25,0,0,0.6666666666666666
1,40,0.3516,0.25,0,0,0.6666666666666666
1,41,0.3524,0.25,0,0,0.6666666666666666
1,42,0.352,0.25,0,0,0.6666666666666666
1,43,0.3544,0.25,0,0,0.6666666666666666
1,44,0.3524,0.25,0,0,0.6666666666666666
1,45,0.3436,0.25,0,0,0.6666666666666666
1,46,0.338,0.25,0,0,0.6666666666666666
1,47,0.3396,0.25,0,0,0.6666666666666666
1,48,0.3572,0.25,0,0,0.6666666666666666
1,49,0.3416,0.25,0,0,0.6666666666666666
1,50,0.3428,0.25,0,0,0.6666666666666666
1,51,0.3396,0.25,0,0,0.6666666666666666
1,52,0.342,0.25,0,0,0.6666666666666666
1,53,0.3468,0.25,0,0,0.6666666666666666
1,54,0.3416,0.25,0,0,0.6666666666666666
1,55,0.3492,0.25,0,0,0.6666666666666666
1,56,0.354,0.25,0,0,0.6666666666666666
1,57,0.3532,0.25,0,0,0.6666666666666666
1,58,0.3532,0.25,0,0,0.6666666666666666
1,59,0.3464,0.25,0,0,0.6666666666666666
1,60,0.348,0.25,0,0,0.6666666666666666
1,61,0.36,0.25,0,0,0.6666666666666666
1,62,0.3528,0.25,0,0,0.6666666666666666
1,63,0.3756,0.25,0,0,0.6666666666666666
1,64,0.3688,0.25,0,0,0.6666666666666666
1,65,0.376,0.25,0,0,0.6666666666666666
1,66,0.368,0.25,0,0,0.6666666666666666
1,67,0.3696,0.25,0,0,0.6666666666666666
1,68,0.3704,0.25,0,0,0.6666666666666666
1,69,0.36,0.25,0,0,0.6666666666666666
1,70,0.366,0.25,0,0,0.6666666666666666
1,71,0.3696,0.25,0,0,0.6666666666666666
1,72,0.366,0.25,0,0,0.6666666666666666
1,73,0.3688,0.25,0,0,0.6666666666666666
1,74,0.362,0.25,0,0,0.6666666666666666
1,75,0.3748,0.25,0,0,0.6666666666666666
1,76,0.372,0.25,0,0,0.6666666666666666
1,77,0.3768,0.25,0,0,0.6666666666666666
1,78,0.376,0.25,0,0,0.6666666666666666
1,79,0.3788,0.25,0,0,0.6666666666666666
1,80,0.3676,0.25,0,0,0.6666666666666666
1,81,0.362,0.25,0,0,0.6666666666666666
1,82,0.3744,0.25,0,0,0.6666666666666666
1,83,0.388,0.25,0,0,0.6666666666666666
1,84,0.3912,0.25,0,0,0.6666666666666666
1,85,0.3916,0.25,0,0,0.6666666666666666
1,86,0.38,0.25,0,0,0.6666666666666666
1,87,0.3896,0.25,0,0,0.6666666666666666
1,88,0.394,0.25,0,0,0.6666666666666666
1,89,0.3928,0.25,0,0,0.6666666666666666
1,90,0.3768,0.25,0,0,0.6666666666666666
1,91,0.3612,0.25,0,0,0.6666666666666666
1,92,0.3672,0.25,0,0,0.6666666666666666
1,93,0.3696,0.25,0,0,0.6666666666666666
1,94,0.3748,0.25,0,0,0.6666666666666666
1,95,0.3852,0.25,0,0,0.6666666666666666
1,96,0.3708,0.25,0,0,0.6666666666666666
1,97,0.3712,0.25,0,0,0.6666666666666666
1,98,0.37,0.25,0,0,0.6666666666666666
1,99,0.3608,0.25,0,0,0.6666666666666666
1,100,0.3672,0.25,0,0,0.6666666666666666
1,0,1,0.25,0,0,0.7777777777777777
1,1,0.6972,0.25,0,0,0.7777777777777777
1,2,0.5956,0.25,0,0,0.7777777777777777
1,3,0.5252,0.25,0,0,0.7777777777777777
1,4,0.48,0.25,0,0,0.7777777777777777
1,5,0.4292,0.25,0,0,0.7777777777777777
1,6,0.4244,0.25,0,0,0.7777777777777777
1,7,0.414,0.25,0,0,0.7777777777777777
1,8,0.4,0.25,0,0,0.7777777777777777
1,9,0.3836,0.25,0,0,0.7777777777777777
1,10,0.3808,0.25,0,0,0.7777777777777777
1,11,0.3784,0.25,0,0,0.7777777777777777
1,12,0.366,0.25,0,0,0.7777777777777777
1,13,0.3868,0.25,0,0,0.7777777777777777
1,14,0.3656,0.25,0,0,0.7777777777777777
1,15,0.3544,0.25,0,0,0.7777777777777777
1,16,0.3576,0.25,0,0,0.7777777777777777
1,17,0.3628,0.25,0,0,0.7777777777777777
1,18,0.3648,0.25,0,0,0.7777777777777777
1,19,0.3556,0.25,0,0,0.7777777777777777
1,20,0.3552,0.25,0,0,0.7777777777777777
1,21,0.3528,0.25,0,0,0.7777777777777777
1,22,0.3632,0.25,0,0,0.7777777777777777
1,23,0.364,0.25,0,0,0.7777777777777777
1,24,0.3732,0.25,0,0,0.7777777777777777
1,25,0.378,0.25,0,0,0.7777777777777777
1,26,0.3664,0.25,0,0,0.7777777777777777
1,27,0.3592,0.25,0,0,0.7777777777777777
1,28,0.3584,0.25,0,0,0.7777777777777777
1,29,0.3556,0.25,0,0,0.7777777777777777
1,30,0.3532,0.25,0,0,0.7777777777777777
1,31,0.3716,0.25,0,0,0.7777777777777777
1,32,0.3652,0.25,0,0,0.7777777777777777
1,33,0.3708,0.25,0,0,0.7777777777777777
1,34,0.3704,0.25,0,0,0.7777777777777777
1,35,0.364,0.25,0,0,0.7777777777777777
1,36,0.3564,0.25,0,0,0.7777777777777777
1,37,0.3564,0.25,0,0,0.7777777777777777
1,38,0.3488,0.25,0,0,0.7777777777777777
1,39,0.3552,0.25,0,0,0.7777777777777777
1,40,0.3648,0.25,0,0,0.7777777777777777
1,41,0.3564,0.25,0,0,0.7777777777777777
1,42,0.3664,0.25,0,0,0.7777777777777777
1,43,0.3704,0.25,0,0,0.7777777777777777
1,44,0.3788,0.25,0,0,0.7777777777777777
1,45,0.3808,0.25,0,0,0.7777777777777777
1,46,0.3704,0.25,0,0,0.7777777777777777
1,47,0.3736,0.25,0,0,0.7777777777777777
1,48,0.378,0.25,0,0,0.7777777777777777
1,49,0.3636,0.25,0,0,0.7777777777777777
1,50,0.3636,0.25,0,0,0.7777777777777777
1,51,0.3484,0.25,0,0,0.7777777777777777
1,52,0.3468,0.25,0,0,0.7777777777777777
1,53,0.3356,0.25,0,0,0.7777777777777777
1,54,0.34,0.25,0,0,0.7777777777777777
1,55,0.3448,0.25,0,0,0.7777777777777777
1,56,0.3416,0.25,0,0,0.7777777777777777
1,57,0.3428,0.25,0,0,0.7777777777777777
1,58,0.3448,0.25,0,0,0.7777777777777777
1,59,0.3668,0.25,0,0,0.7777777777777777
1,60,0.3576,0.25,0,0,0.7777777777777777
1,61,0.3644,0.25,0,0,0.7777777777777777
1,62,0.3584,0.25,0,0,0.7777777777777777
1,63,0.356,0.25,0,0,0.7777777777777777
1,64,0.3696,0.25,0,0,0.7777777777777777
1,65,0.3588,0.25,0,0,0.7777777777777777
1,66,0.3544,0.25,0,0,0.7777777777777777
1,67,0.3504,0.25,0,0,0.7777777777777777
1,68,0.362,0.25,0,0,0.7777777777777777
1,69,0.3504,0.25,0,0,0.7777777777777777
1,70,0.3576,0.25,0,0,0.7777777777777777
1,71,0.3668,0.25,0,0,0.7777777777777777
1,72,0.3644,0.25,0,0,0.7777777777777777
1,73,0.3668,0.25,0,0,0.7777777777777777
1,74,0.366,0.25,0,0,0.7777777777777777
1,75,0.3696,0.25,0,0,0.7777777777777777
1,76,0.3576,0.25,0,0,0.7777777777777777
1,77,0.3616,0.25,0,0,0.7777777777777777
1,78,0.3636,0.25,0,0,0.7777777777777777
1,79,0.3576,0.25,0,0,0.7777777777777777
1,80,0.352,0.25,0,0,0.7777777777777777
1,81,0.356,0.25,0,0,0.7777777777777777
1,82,0.3468,0.25,0,0,0.7777777777777777
1,83,0.3512,0.25,0,0,0.7777777777777777
1,84,0.3504,0.25,0,0,0.7777777777777777
1,85,0.3552,0.25,0,0,0.7777777777777777
1,86,0.3648,0.25,0,0,0.7777777777777777
1,87,0.3672,0.25,0,0,0.7777777777777777
1,88,0.3632,0.25,0,0,0.7777777777777777
1,89,0.3644,0.25,0,0,0.7777777777777777
1,90,0.3524,0.25,0,0,0.7777777777777777
1,91,0.3588,0.25,0,0,0.7777777777777777
1,92,0.3556,0.25,0,0,0.7777777777777777
1,93,0.3496,0.25,0,0,0.7777777777777777
1,94,0.3484,0.25,0,0,0.7777777777777777
1,95,0.362,0.25,0,0,0.7777777777777777
1,96,0.3488,0.25,0,0,0.7777777777777777
1,97,0.3548,0.25,0,0,0.7777777777777777
1,98,0.3468,0.25,0,0,0.7777777777777777
1,99,0.3556,0.25,0,0,0.7777777777777777
1,100,0.3588,0.25,0,0,0.7777777777777777
1,0,1,0.25,0,0,0.8888888888888888
1,1,0.7132,0.25,0,0,0.8888888888888888
1,2,0.5948,0.25,0,0,0.8888888888888888
1,3,0.5408,0.25,0,0,0.8888888888888888
1,4,0.4924,0.25,0,0,0.8888888888888888
1,5,0.4544,0.25,0,0,0.8888888888888888
1,6,0.4312,0.25,0,0,0.8888888888888888
1,7,0.4088,0.25,0,0,0.8888888888888888
1,8,0.3956,0.25,0,0,0.8888888888888888
1,9,0.3844,0.25,0,0,0.8888888888888888
1,10,0.3824,0.25,0,0,0.8888888888888888
1,11,0.4012,0.25,0,0,0.8888888888888888
1,12,0.3988,0.25,0,0,0.8888888888888888
1,13,0.3896,0.25,0,0,0.8888888888888888
1,14,0.37,0.25,0,0,0.8888888888888888
1,15,0.3656,0.25,0,0,0.8888888888888888
1,16,0.3628,0.25,0,0,0.8888888888888888
1,17,0.382,0.25,0,0,0.8888888888888888
1,18,0.3812,0.25,0,0,0.8888888888888888
1,19,0.3704,0.25,0,0,0.8888888888888888
1,20,0.3748,0.25,0,0,0.8888888888888888
1,21,0.3848,0.25,0,0,0.8888888888888888
1,22,0.3904,0.25,0,0,0.8888888888888888
1,23,0.3764,0.25,0,0,0.8888888888888888
1,24,0.3676,0.25,0,0,0.8888888888888888
1,25,0.358,0.25,0,0,0.8888888888888888
1,26,0.3524,0.25,0,0,0.8888888888888888
1,27,0.3476,0.25,0,0,0.8888888888888888
1,28,0.3508,0.25,0,0,0.8888888888888888
1,29,0.3592,0.25,0,0,0.8888888888888888
1,30,0.3548,0.25,0,0,0.8888888888888888
1,31,0.3388,0.25,0,0,0.8888888888888888
1,32,0.3412,0.25,0,0,0.8888888888888888
1,33,0.3448,0.25,0,0,0.8888888888888888
1,34,0.3492,0.25,0,0,0.8888888888888888
